FieldID	Field
94	Diastolic_blood_pressure,_manual_reading
93	Systolic_blood_pressure,_manual_reading
6177	Medication_for_cholesterol,_blood_pressure_or_diabetes
6153	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones
6034	Target_heart_rate_achieved
6033	Maximum_heart_rate_during_fitness_test
6032	Maximum_workload_during_fitness_test
6016	Chest_pain_felt_outside_physical_activity
6015	Chest_pain_felt_during_physical_activity
5984	ECG,_load
5983	ECG,_heart_rate
50	Standing_height
42040	GP_clinical_event_records
42039	GP_prescription_records
42038	GP_registration_records
42005	Source_of_NSTEMI_report
42004	Date_of_NSTEMI
42003	Source_of_STEMI_report
42002	Date_of_STEMI
42001	Source_of_myocardial_infarction_report
42000	Date_of_myocardial_infarction
4199	Position_of_pulse_wave_notch
4198	Position_of_the_pulse_wave_peak
4194	Pulse_rate
41280	Date_of_first_in-patient_diagnosis_ICD10
41270	Diagnoses_-_ICD10
41270	Diagnoses_ICD10
41262	Date_of_first_in-patient_diagnosis_main_ICD10
41204	Diagnoses_secondary_ICD10
41202	Diagnoses_main_ICD10
41201	External_causes_ICD10
4080	Systolic_blood_pressure,_automated_reading
4079	Diastolic_blood_pressure,_automated_reading
40006	Type_of_cancer:_ICD10
40002	Contributory_(secondary)_causes_of_death:_ICD10
40001	Underlying_(primary)_cause_of_death:_ICD10
40000	Date_of_death
34	Year_of_birth
31	Sex
30890	Vitamin
30870	Triglycerides
30860	Total
30790	Lipoprotein_A
30790	Lipoprotein
30786	LDL_direct_reportability
30785	LDL_direct_missing_reason
30784	LDL_direct_correction_reason
30783	LDL_direct_correction_level
30782	LDL_direct_aliquot
30781	LDL_direct_assay_date
30780	LDL_direct
30780	LDL
30770	IGF-1
30766	HDL_cholesterol_reportability
30765	HDL_cholesterol_missing_reason
30764	HDL_cholesterol_correction_reason
30763	HDL_cholesterol_correction_level
30762	HDL_cholesterol_aliquot
30761	HDL_cholesterol_assay_date
30760	HDL_cholesterol
30760	HDL
30740	Glucose
30696	Cholesterol_reportability
30695	Cholesterol_missing_reason
30694	Cholesterol_correction_reason
30693	Cholesterol_correction_level
30692	Cholesterol_aliquot
30691	Cholesterol_assay_date
30690	Cholesterol
2443	Diabetes_diagnosed_by_doctor
23105	Basal_metabolic_rate
23104	Body_mass_index_(BMI)
23098	Weight
22338	QRS_num
22337	T_axis
22336	R_axis
22335	P_axis
22334	PP_interval
22333	RR_interval
22332	QTC_interval
22331	QT_interval
22330	PQ_interval
22040	Summed MET minutes per week for all activity
22039	MET_minutes_per_week_for_vigorous_activity
22038	MET_minutes_per_week_for_moderate_activity
22037	MET_minutes_per_week_for_walking
22036	Above moderate/vigorous/walking recommendation
22035	Above moderate/vigorous recommendation
21003	Age_when_attended_assessment_centre
21002	Weight
21001	Body_mass_index_(BMI)
21000	Ethnic_background
21000	Ethnic
20162	Pack_years_adult_smoking_as_proportion_of_life_span_exposed_to_smoking
20161	Pack_years_of_smoking
20116	Smoking_status
20116	Smoking
20111	Illnesses_of_siblings
20110	Illnesses_of_mother
20107	Illnesses_of_father
20107	Illnesses
20008	Interpolated Year when non-cancer illness first diagnosed
20004	Operation_code
20004	Operation
20003	Treatment/medication_code
20003	Treatment/medication
20002	Non-cancer_illness_code,_self-reported
20002	Non-cancer
12702	Cardiac_index_during_PWA
12700	Vicorder_results_plausible
12699	Number_of_PWA_tests_performed
12698	Diastolic_brachial_blood_pressure
12697	Systolic_brachial_blood_pressure
12695	Blood_pressure_test_start_time
12687	Mean_arterial_pressure_during_PWA
12686	Stroke_volume_during_PWA
12685	Total_peripheral_resistance_during_PWA
12684	End_systolic_pressure_index_during_PWA
12683	End_systolic_pressure_during_PWA
12682	Cardiac_output_during_PWA
12681	Augmentation_index_for_PWA
12680	Central_augmentation_pressure_during_PWA
12679	Number_of_beats_in_waveform_average_for_PWA
12678	Central_pulse_pressure_during_PWA
12677	Central_systolic_blood_pressure_during_PWA
12676	Peripheral_pulse_pressure_during_PWA
12675	Diastolic_brachial_blood_pressure_during_PWA
12674	Systolic_brachial_blood_pressure_during_PWA
12673	Heart_rate_during_PWA
12671	PWA_start_time
1249	Past_tobacco_smoking
12340	QRS_duration
12338	P_duration
12336	Ventricular_rate
12143	Weight_(pre-imaging)
