Final	Medication	Med_value	ICD10	ICD10_value	Death	SR	SR_value	Other	Other_value
Hypertension_sum	6177|6153	2	41270|41202|41204	I150|I151|I152|I158|I159|I10	f.40001|f.40002|f.41201	f.20002	1065|1072	NA	Na
Diabetes_sum	6177|6153	3	41270|41202|41204	E100|E101|E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120|E121|E122|E123|E124|E125|E126|E127|E128|E129|E130|E131|E132|E133|E134|E135|E136|E137|E138|E139|E140|E141|E142|E143|E144|E145|E146|E147|E148|E149	f.40001|f.40002|f.41201	f.20002	1220|1222|1223	2443	1
Ever_Smoked_sum	NA	NA	NA	NA	NA	NA	NA	20116	1|2
Obesity_sum	NA	NA	41270|41202|41204	E660|E661|E662|E668|E669	f.40001|f.40002|f.41201	NA	NA	NA	NA
Hypercholesterolaemia_sum	6177|6153	1	41270|41202|41204	E780	f.40001|f.40002|f.41201	f.20002	1473	NA	NA
Family_Heart_Disease_sum	NA	NA	NA	NA	NA	NA	NA	20107|20110|20111	1
Cardiac_Problem_sum	NA	NA	NA	NA	NA	f.20002	1066	NA	NA
Heart_Failure_sum	NA	NA	41270|41202|41204	I119|I300|I302|I500|I501|I509	f.40001|f.40002|f.41201	f.20002	1076	NA	NA
Cardiomyopathy_sum	NA	NA	41270|41202|41204	I420|I421|I422|I423|I424|I425|I426|I427|I428|I429	f.40001|f.40002|f.41201	f.20002	1079	NA	NA
HCM_sum	NA	NA	41270|41202|41204	I421|I422|1588	f.40001|f.40002|f.41201	f.20002	1588	NA	NA
DCM_sum	NA	NA	41270|41202|41204	I420	f.40001|f.40002|f.41201	NA	NA	NA	NA
Ventricular_arrhythmias_sum	NA	NA	41270|41202|41204	I472|I490:I470|I493	f.40001|f.40002|f.41201	NA	NA	NA	NA
Atrial_arrhythmias_sum	NA	NA	41270|41202|41204	I480|I481|I482|I483|I484|I489|I471|I491	f.40001|f.40002|f.41201	f.20002	1471|1483|1487	NA	NA
Chronic_ischaemic_heart_disease_sum	NA	NA	41270|41202|41204	I250|I251|I252|I253|I254|I255|I256|I258|I259	f.40001|f.40002|f.41201	NA	NA	NA	NA
Acute_Myocardial_infarction_sum	NA	NA	41270|41202|41204	I210|I211|I212|I213|I214|I219|I220|I221|I228|I229|I248|I249	f.40001|f.40002|f.41201	f.20002	1075	NA	NA
Cardiac_arrest_sum	NA	NA	41270|41202|41204	I460|I461|I469	f.40001|f.40002|f.41201	NA	NA	NA	NA
Conduction_disorders_sum	NA	NA	41270|41202|41204	I440|I441|I442|I443|I444|I445|I446|I447|I450|I451|I452|I453|I454|I455|I456|I458|I459	f.40001|f.40002|f.41201	NA	NA	NA	NA
Valvular_disease_sum	NA	NA	41270|41202|41204	I340|I341|I342|I348|I349|I350|I351|I352|I358|I359|I360|I361|I362|I368|I369|I370|I371|I372|I378|I379|I050|I051|I052|I058|I059|I060|I061|I062|I068|I069|I070|I071|I072|I078|I079|I080|I081|I082|I083|I088|I089	f.40001|f.40002|f.41201	f.20002	1078|1488|1489|1490|1584|1585|1586|1587	NA	NA
Congenital_heart_disease_sum	NA	NA	41270|41202|41204	Q200|Q201|Q202|Q203|Q204|Q205|Q206|Q208|Q209|Q210|Q211|Q212|Q213|Q214|Q218|Q219|Q221|Q222|Q223|Q224|Q225|Q226|Q228|Q229|Q230|Q231|Q232|Q233|Q234|Q238|Q239|Q240|Q241|Q242|Q243|Q244|Q245|Q246|Q248|Q249|Q250|Q251|Q252|Q253|Q254|Q255|Q256|Q257|Q258|Q259|Q260|Q261|Q262|Q263|Q264|Q265|Q266|Q268|Q269	f.40001|f.40002|f.41201	NA	NA	NA	NA
Pulmonary_obstructive_disease_sum	NA	NA	41270|41202|41204	J440|J441|J448|J449|J430|J431|J432|J438|J439|I260|I269|I270|I271|I272|I278|I279	f.40001|f.40002|f.41201	f.20002	1112|1113|1114|1115|1121	NA	NA
Cardiovascular_Death_sum	NA	NA	NA	I	f.40001|f.40002|f.41201	NA	NA	NA	NA
All_cause_mortality_sum	NA	NA	NA	-	f.40000	NA	NA	NA	NA
