"","Overall","Diagnosed","Non-Diagnosed","p","test","Missing"
"n","249","9","240","","",""
"Sex = Female (%)","133 (53.4)","5 (55.6)","128 (53.3)","1.000","","0.0"
"Age_when_attended_assessment_centre.0.0 (median [IQR])","57.00 [51.00, 64.00]","63.00 [60.00, 65.00]","57.00 [50.00, 64.00]","0.039","nonnorm","0.0"
"Ethnicity (%)","","","","0.568","","0.4"
"   Asian","2 (0.8)","0 (0.0)","2 (0.8)","","",""
"   Black","8 (3.2)","1 (11.1)","7 (2.9)","","",""
"   Other","3 (1.2)","0 (0.0)","3 (1.3)","","",""
"   White","235 (94.8)","8 (88.9)","227 (95.0)","","",""
"BMI (median [IQR])","26.73 [24.14, 30.73]","30.08 [27.71, 32.73]","26.64 [24.08, 30.54]","0.029","nonnorm","0.4"
"MET_minutes_per_week_for_walking.0.0 (median [IQR])","693.00 [297.00, 1,386.00]","717.75 [321.75, 1,386.00]","693.00 [297.00, 1,386.00]","0.844","nonnorm","18.5"
"MET_minutes_per_week_for_moderate_activity.0.0 (median [IQR])","420.00 [120.00, 960.00]","840.00 [450.00, 1,860.00]","360.00 [100.00, 960.00]","0.094","nonnorm","18.5"
"MET_minutes_per_week_for_vigorous_activity.0.0 (median [IQR])","240.00 [0.00, 720.00]","240.00 [0.00, 720.00]","240.00 [0.00, 760.00]","0.740","nonnorm","18.5"
"Total_Cholesterol (median [IQR])","5.48 [4.81, 6.38]","4.90 [4.65, 5.89]","5.49 [4.81, 6.39]","0.323","nonnorm","5.2"
"HDL (median [IQR])","1.36 [1.17, 1.58]","1.32 [1.19, 1.50]","1.36 [1.16, 1.59]","0.764","nonnorm","9.6"
"LDL (median [IQR])","3.33 [2.86, 4.10]","3.08 [2.80, 3.81]","3.39 [2.87, 4.11]","0.409","nonnorm","5.2"
"Systolic_blood_pressure_mean (median [IQR])","136.75 [124.38, 149.00]","131.50 [122.50, 147.50]","137.00 [124.75, 149.00]","0.526","nonnorm","0.4"
"Diastolic_blood_pressure_mean (median [IQR])","82.25 [75.50, 88.62]","79.50 [71.00, 81.50]","82.50 [75.50, 89.00]","0.260","nonnorm","0.4"
"Hypertension_sum = Yes (%)","91 (36.5)","8 (88.9)","83 (34.6)","0.003","","0.0"
"Diabetes_sum = Yes (%)","21 (8.4)","1 (11.1)","20 (8.3)","1.000","","0.0"
"Ever_Smoked_sum = Yes (%)","119 (47.8)","4 (44.4)","115 (47.9)","1.000","","0.0"
"Obesity_sum = Yes (%)","13 (5.2)","4 (44.4)","9 (3.8)","<0.001","","0.0"
"Hypercholesterolaemia_sum = Yes (%)","62 (24.9)","7 (77.8)","55 (22.9)","0.001","","0.0"
"Family_Heart_Disease_sum = Yes (%)","130 (52.2)","8 (88.9)","122 (50.8)","0.057","","0.0"
"Cardiac_Problem_sum = Yes (%)","2 (0.8)","0 (0.0)","2 (0.8)","1.000","","0.0"
"Heart_Failure_sum = Yes (%)","7 (2.8)","7 (77.8)","0 (0.0)","<0.001","","0.0"
"Cardiomyopathy_sum = Yes (%)","2 (0.8)","2 (22.2)","0 (0.0)","<0.001","","0.0"
"HCM_sum = No (%)","249 (100.0)","9 (100.0)","240 (100.0)","NA","","0.0"
"DCM_sum = Yes (%)","1 (0.4)","1 (11.1)","0 (0.0)","0.013","","0.0"
"Ventricular_arrhythmias_sum = Yes (%)","6 (2.4)","3 (33.3)","3 (1.2)","<0.001","","0.0"
"Atrial_arrhythmias_sum = Yes (%)","2 (0.8)","0 (0.0)","2 (0.8)","1.000","","0.0"
"Chronic_ischaemic_heart_disease_sum = Yes (%)","24 (9.6)","6 (66.7)","18 (7.5)","<0.001","","0.0"
"Acute_Myocardial_infarction_sum = Yes (%)","12 (4.8)","6 (66.7)","6 (2.5)","<0.001","","0.0"
"Cardiac_arrest_sum = No (%)","249 (100.0)","9 (100.0)","240 (100.0)","NA","","0.0"
"Conduction_disorders_sum = Yes (%)","5 (2.0)","1 (11.1)","4 (1.7)","0.440","","0.0"
"Valvular_disease_sum = Yes (%)","7 (2.8)","3 (33.3)","4 (1.7)","<0.001","","0.0"
"Congenital_heart_disease_sum = Yes (%)","1 (0.4)","1 (11.1)","0 (0.0)","0.013","","0.0"
"Pulmonary_obstructive_disease_sum = Yes (%)","17 (6.8)","2 (22.2)","15 (6.2)","0.233","","0.0"
"Heart_Arrhythmia_sum = Yes (%)","4 (1.6)","0 (0.0)","4 (1.7)","1.000","","0.0"
"Angina_sum = Yes (%)","12 (4.8)","3 (33.3)","9 (3.8)","0.001","","0.0"
"Cardiovascular_Death_sum = Yes (%)","8 (3.2)","2 (22.2)","6 (2.5)","0.020","","0.0"
"All_cause_mortality_sum = Yes (%)","15 (6.0)","2 (22.2)","13 (5.4)","0.172","","0.0"
"ECG_heart_rate.0_mean (median [IQR])","96.37 [86.74, 105.77]","88.59 [77.63, 99.55]","96.37 [87.34, 105.72]","0.736","nonnorm","73.5"
"P_duration (median [IQR])","100.00 [94.00, 111.50]","NA [NA, NA]","100.00 [94.00, 111.50]","NA","nonnorm","90.4"
"P_axis.2.0 (median [IQR])","52.50 [43.75, 59.00]","NA [NA, NA]","52.50 [43.75, 59.00]","NA","nonnorm","95.2"
"PQ_interval.2.0 (median [IQR])","170.00 [121.00, 181.00]","NA [NA, NA]","170.00 [121.00, 181.00]","NA","nonnorm","95.2"
"QRS_duration (median [IQR])","88.00 [80.00, 96.50]","NA [NA, NA]","88.00 [80.00, 96.50]","NA","nonnorm","90.4"
"R_axis.2.0 (median [IQR])","17.00 [-10.50, 50.00]","NA [NA, NA]","17.00 [-10.50, 50.00]","NA","nonnorm","95.2"
"QTC_interval.2.0 (median [IQR])","433.50 [403.75, 438.25]","NA [NA, NA]","433.50 [403.75, 438.25]","NA","nonnorm","95.2"
"T_axis.2.0 (median [IQR])","29.50 [19.50, 49.00]","NA [NA, NA]","29.50 [19.50, 49.00]","NA","nonnorm","95.2"
"RV = yes (%)","20 (100.0)","0 (NaN)","20 (100.0)","NA","","92.0"
"RVEDV (median [IQR])","145.90 [130.15, 165.63]","NA [NA, NA]","145.90 [130.15, 165.63]","NA","nonnorm","92.0"
"RVEDVi (median [IQR])","79.86 [74.23, 86.07]","NA [NA, NA]","79.86 [74.23, 86.07]","NA","nonnorm","92.0"
"RVEF (median [IQR])","57.07 [52.42, 61.07]","NA [NA, NA]","57.07 [52.42, 61.07]","NA","nonnorm","92.0"
"RVESV (median [IQR])","63.21 [55.13, 78.95]","NA [NA, NA]","63.21 [55.13, 78.95]","NA","nonnorm","92.0"
"RVESVi (median [IQR])","34.39 [31.27, 42.41]","NA [NA, NA]","34.39 [31.27, 42.41]","NA","nonnorm","92.0"
"RVPAFR (median [IQR])","293.08 [218.29, 367.25]","NA [NA, NA]","293.08 [218.29, 367.25]","NA","nonnorm","92.0"
"RVPER (median [IQR])","403.14 [310.25, 467.94]","NA [NA, NA]","403.14 [310.25, 467.94]","NA","nonnorm","92.0"
"RVPFR (median [IQR])","243.30 [196.98, 347.44]","NA [NA, NA]","243.30 [196.98, 347.44]","NA","nonnorm","92.0"
"RVSV (median [IQR])","82.26 [70.45, 96.51]","NA [NA, NA]","82.26 [70.45, 96.51]","NA","nonnorm","92.0"
"RVSVi (median [IQR])","45.08 [39.74, 51.20]","NA [NA, NA]","45.08 [39.74, 51.20]","NA","nonnorm","92.0"
"LV = yes (%)","19 (100.0)","0 (NaN)","19 (100.0)","NA","","92.4"
"LV_RV_ESV (median [IQR])","0.91 [0.80, 0.93]","NA [NA, NA]","0.91 [0.80, 0.93]","NA","nonnorm","92.4"
"LVEDM (median [IQR])","82.88 [64.50, 93.05]","NA [NA, NA]","82.88 [64.50, 93.05]","NA","nonnorm","92.4"
"LVEDMi (median [IQR])","42.01 [37.15, 46.75]","NA [NA, NA]","42.01 [37.15, 46.75]","NA","nonnorm","92.4"
