"","Overall","Diagnosed","Non-Diagnosed","p","test","Missing"
"n","11,188","93","11,095","","",""
"Sex = Female (%)","6136 (54.8)","39 (41.9)","6097 (55.0)","0.016","","0.0"
"Age_when_attended_assessment_centre.0.0 (median [IQR])","57.00 [49.00, 63.00]","62.00 [55.00, 66.00]","57.00 [49.00, 63.00]","<0.001","nonnorm","0.0"
"Ethnicity (%)","","","","0.545","","1.1"
"   Asian","1084 (9.8)","5 (5.4)","1079 (9.8)","","",""
"   Black","616 (5.6)","7 (7.6)","609 (5.5)","","",""
"   Chinese","56 (0.5)","1 (1.1)","55 (0.5)","","",""
"   Mixed","160 (1.4)","2 (2.2)","158 (1.4)","","",""
"   Other","244 (2.2)","1 (1.1)","243 (2.2)","","",""
"   White","8908 (80.5)","76 (82.6)","8832 (80.5)","","",""
"BMI (median [IQR])","26.81 [24.21, 29.97]","28.83 [25.06, 32.17]","26.80 [24.21, 29.94]","<0.001","nonnorm","0.5"
"MET_minutes_per_week_for_walking.0.0 (median [IQR])","693.00 [297.00, 1,386.00]","528.00 [255.75, 1,435.50]","693.00 [297.00, 1,386.00]","0.677","nonnorm","20.2"
"MET_minutes_per_week_for_moderate_activity.0.0 (median [IQR])","480.00 [120.00, 1,200.00]","480.00 [100.00, 1,680.00]","480.00 [120.00, 1,200.00]","0.753","nonnorm","20.2"
"MET_minutes_per_week_for_vigorous_activity.0.0 (median [IQR])","240.00 [0.00, 960.00]","0.00 [0.00, 900.00]","240.00 [0.00, 960.00]","0.085","nonnorm","20.2"
"Total_Cholesterol (median [IQR])","5.59 [4.84, 6.36]","5.23 [4.42, 6.10]","5.59 [4.85, 6.37]","0.007","nonnorm","4.4"
"HDL (median [IQR])","1.39 [1.16, 1.66]","1.29 [1.13, 1.56]","1.39 [1.16, 1.66]","0.058","nonnorm","11.2"
"LDL (median [IQR])","3.48 [2.90, 4.08]","3.22 [2.58, 3.82]","3.48 [2.91, 4.08]","0.008","nonnorm","4.6"
"Systolic_blood_pressure_mean (median [IQR])","135.50 [124.00, 149.00]","144.00 [130.50, 155.50]","135.50 [124.00, 148.50]","0.001","nonnorm","0.1"
