Phenotype	Events	Total	OR	LCI	UCI	CM
Outcomes	NA	NA	NA	NA	Na	ACM
Outcomes	NA	NA	NA	NA	Na	DCM
Outcomes	NA	NA	NA	NA	Na	HCM
Heart Failure	9	347	1.432232192	2.812417882	0.638933037	ACM
Heart Failure	36	800	2.534341381	1.707953968	3.670996093	DCM
Heart Failure	33	1346	1.351906293	0.899315004	1.977167554	HCM
Cardiomyopathy	3	347	2.341392035	7.452468457	0.45961876	ACM
Cardiomyopathy	22	800	7.589879087	4.242354644	13.28267312	DCM
Cardiomyopathy	27	1346	5.495087809	3.206342533	9.305867344	HCM
Ventricular arrhythmias	7	347	6.198156565	14.37615118	2.297294358	ACM
Ventricular arrhythmias	13	800	4.973641172	2.392242309	9.752197727	DCM
Ventricular arrhythmias	8	1346	1.800669432	0.717011278	3.986863621	HCM
Atrial arrhythmias	7	347	1.054331138	2.238772241	0.415009107	ACM
Atrial arrhythmias	34	800	2.27269706	1.518012364	3.3144866	DCM
Atrial arrhythmias	32	1346	1.247082134	0.825818651	1.829681982	HCM
Heart Arrhythmia	6	347	3.230990855	7.573143421	1.127994019	ACM
Heart Arrhythmia	12	800	2.796391218	1.355794303	5.320508711	DCM
Heart Arrhythmia	4	1346	1.826599536	6.956970313	0.671985533	HCM
Chronic ischaemic heart disease	35	347	1.430725124	2.052161499	0.970701218	ACM
Chronic ischaemic heart disease	73	800	1.280677325	0.981067683	1.652006995	DCM
Chronic ischaemic heart disease	93	1346	1.056352052	1.336080742	0.842870622	HCM
Angina	16	347	1.496541166	2.506193856	0.83486836	ACM
Angina	30	800	1.206270116	0.794557463	1.771983292	DCM
Angina	56	1346	1.344025153	0.986704528	1.802827218	HCM
Cardiovascular Death	11	347	1.770802459	3.285813284	0.860089695	ACM
Cardiovascular Death	24	800	1.672902015	1.038089606	2.588089188	DCM
Cardiovascular Death	18	1346	1.363848941	2.361545329	0.835387384	HCM
All cause mortality	19	347	1.068112433	1.712817138	0.629455667	ACM
All cause mortality	56	800	1.387797633	1.023466301	1.851695261	DCM
All cause mortality	62	1346	1.123125442	1.496098099	0.8555746	HCM
